Sensor	px_state	py_state	vx_state	vy_state	NIS_value	RMSE[0]	RMSE[1]	RMSE[2]	RMSE[3]
  L		0.312		0.580		0.540		0.841		0.000		0.041	0.003	0.466	0.084
  R		0.767		0.786		1.962		3.438		24.739		0.042	0.026	0.565	0.354
  L		1.029		0.669		3.522		1.778		5.836		0.044	0.028	0.587	0.394
  R		1.292		0.549		4.141		-0.360		4.371		0.045	0.029	0.594	0.394
  L		1.547		0.580		4.174		0.026		0.957		0.047	0.029	0.600	0.392
  R		1.784		0.572		4.912		0.683		5.695		0.049	0.029	0.597	0.395
  L		2.070		0.622		4.932		0.880		0.910		0.050	0.028	0.595	0.402
  R		2.296		0.654		4.935		1.070		1.474		0.053	0.029	0.592	0.413
  L		2.567		0.700		4.944		1.181		0.526		0.054	0.031	0.590	0.426
  R		2.845		0.687		5.086		0.912		1.170		0.055	0.033	0.587	0.432
  L		3.081		0.711		5.050		0.949		0.588		0.057	0.035	0.584	0.438
  R		3.379		0.608		5.181		0.107		4.545		0.058	0.035	0.581	0.436
  L		3.690		0.515		5.214		-0.541		5.063		0.057	0.038	0.578	0.439
  R		3.968		0.580		5.385		-0.027		2.204		0.057	0.038	0.576	0.437
  L		4.249		0.577		5.407		-0.036		0.198		0.056	0.039	0.573	0.436
  R		4.506		0.614		5.290		0.168		0.725		0.056	0.039	0.571	0.433
  L		4.690		0.733		5.079		0.751		8.327		0.056	0.040	0.568	0.434
  R		4.943		0.727		4.977		0.628		1.811		0.056	0.040	0.565	0.433
  L		5.249		0.712		5.090		0.479		4.251		0.056	0.040	0.563	0.432
  R		5.511		0.718		5.240		0.458		1.700		0.055	0.039	0.560	0.430
  L		5.815		0.724		5.316		0.417		2.327		0.055	0.039	0.557	0.427
  R		6.058		0.646		5.118		0.076		4.276		0.054	0.041	0.555	0.427
  L		6.312		0.757		5.105		0.454		2.584		0.054	0.041	0.552	0.425
  R		6.562		0.791		5.049		0.519		0.156		0.053	0.040	0.549	0.422
  L		6.810		0.782		5.047		0.440		0.354		0.053	0.040	0.546	0.420
  R		7.052		0.767		4.870		0.341		2.187		0.052	0.042	0.544	0.419
  L		7.266		0.846		4.808		0.535		1.756		0.053	0.041	0.542	0.417
  R		7.566		0.860		5.149		0.550		5.470		0.052	0.041	0.540	0.415
  L		7.823		0.833		5.152		0.422		0.867		0.052	0.044	0.537	0.414
  R		8.071		0.852		4.969		0.423		2.258		0.051	0.047	0.534	0.413
  L		8.308		0.864		4.948		0.417		0.224		0.051	0.051	0.532	0.413
  R		8.582		0.955		5.226		0.632		5.986		0.051	0.053	0.530	0.412
  L		8.826		1.008		5.189		0.712		0.451		0.050	0.054	0.527	0.410
  R		9.118		1.049		5.233		0.752		6.837		0.050	0.056	0.525	0.409
  L		9.360		1.078		5.195		0.759		0.618		0.049	0.058	0.522	0.408
  R		9.641		1.151		5.243		0.871		4.177		0.049	0.059	0.520	0.406
  L		9.922		1.270		5.261		1.073		2.773		0.049	0.059	0.518	0.404
  R		10.168		1.353		5.005		1.132		4.805		0.050	0.058	0.516	0.402
  L		10.389		1.428		4.942		1.205		1.114		0.049	0.058	0.513	0.400
  R		10.619		1.501		4.711		1.225		2.768		0.049	0.057	0.511	0.398
  L		10.836		1.533		4.669		1.208		0.969		0.048	0.057	0.509	0.397
  R		11.106		1.586		4.852		1.269		2.506		0.048	0.057	0.507	0.395
  L		11.388		1.637		4.912		1.288		2.150		0.048	0.057	0.504	0.394
  R		11.617		1.691		4.814		1.290		0.614		0.048	0.058	0.502	0.393
  L		11.845		1.755		4.781		1.324		0.236		0.047	0.060	0.499	0.393
  R		12.105		1.843		4.940		1.438		1.499		0.047	0.061	0.497	0.392
  L		12.349		1.880		4.925		1.412		0.603		0.047	0.065	0.495	0.392
  R		12.606		1.946		5.026		1.465		0.595		0.047	0.070	0.493	0.392
  L		12.812		2.066		4.932		1.581		3.326		0.047	0.073	0.491	0.392
  R		13.083		2.173		5.080		1.711		2.575		0.048	0.076	0.491	0.391
  L		13.293		2.304		4.986		1.828		2.952		0.048	0.077	0.490	0.390
  R		13.471		2.420		4.596		1.816		11.650		0.048	0.078	0.487	0.390
  L		13.720		2.540		4.612		1.916		1.126		0.047	0.079	0.485	0.389
  R		13.942		2.640		4.554		1.957		0.205		0.047	0.080	0.483	0.389
  L		14.173		2.792		4.538		2.098		1.424		0.047	0.080	0.480	0.388
  R		14.426		2.904		4.696		2.222		1.049		0.047	0.081	0.479	0.386
  L		14.629		2.990		4.619		2.220		1.881		0.047	0.082	0.477	0.386
  R		14.866		3.135		4.673		2.361		3.797		0.047	0.083	0.477	0.385
  L		15.082		3.323		4.614		2.533		2.239		0.048	0.083	0.476	0.383
  R		15.297		3.467		4.424		2.549		3.335		0.049	0.083	0.474	0.382
  L		15.514		3.658		4.383		2.716		1.774		0.050	0.082	0.472	0.380
  R		15.726		3.782		4.309		2.732		0.706		0.051	0.081	0.470	0.379
  L		15.945		3.941		4.279		2.829		0.269		0.053	0.080	0.469	0.377
  R		16.144		4.080		4.081		2.793		1.564		0.054	0.080	0.467	0.376
  L		16.340		4.281		4.029		2.955		1.637		0.056	0.079	0.465	0.375
  R		16.554		4.436		4.037		3.046		0.564		0.058	0.078	0.463	0.373
  L		16.729		4.615		3.947		3.142		1.055		0.060	0.077	0.461	0.372
  R		16.890		4.765		3.621		3.013		3.557		0.061	0.077	0.459	0.371
  L		17.052		4.998		3.544		3.207		2.973		0.061	0.077	0.456	0.370
  R		17.227		5.145		3.478		3.229		0.944		0.061	0.076	0.454	0.369
  L		17.379		5.345		3.390		3.344		0.950		0.061	0.076	0.452	0.368
  R		17.540		5.490		3.286		3.322		2.124		0.061	0.076	0.450	0.368
  L		17.717		5.647		3.253		3.362		0.282		0.060	0.075	0.447	0.367
  R		17.870		5.816		3.118		3.350		0.689		0.060	0.074	0.445	0.368
  L		18.037		6.032		3.080		3.496		1.540		0.060	0.073	0.443	0.368
  R		18.194		6.225		3.047		3.600		1.162		0.060	0.073	0.441	0.367
  L		18.318		6.479		2.935		3.782		2.652		0.059	0.073	0.439	0.366
  R		18.457		6.673		2.826		3.807		0.499		0.059	0.073	0.436	0.365
  L		18.591		6.838		2.748		3.802		0.479		0.058	0.072	0.434	0.364
